product,pbf_name,type
Ballads,GM_Ballads,sections
Ballads,GM_Ballads_Brushes,sections
Ballads,GM_Ballads_Crashes,sections
Big Easy,GM_Big_Easy,sections
Blues,GM_Blues,OPP
Blues Classics,GM_Blues_Classics,sections
Blues Rock,GM_Blues_Rock,sections
Breakbeats,GM_Breakbeats,sections
Classic Rock,GM_Classic_Rock,sections
Classic Rock,GM_Classic_Rock_OPP,OPP
Contemporary Rock,GM_Contemporary_Rock,sections
Country,GM_Country_Outlaws,sections
Country Outlaws,GM_Country_Outlaws_OPP,OPP
Country Outlaws,GM_Country,sections
Doom,GM_Doom,sections
Electronic,,
Funk HH RB,GM_Funk_HH_RB,sections
Funk HH RB,GM_Funk_HH_RB_DanceKit,sections
Fusion,,
Garage Rock,GM_Garage_Rock,sections
Garage Rock,GM_Garage_Rock_OPP,OPP
Hard Rock,GM_Hard_Rock,sections
Hi-Octane,GM_Hi-Octane,sections
Jazz Buddy,GM_Jazz_Buddy,sections
Led Head 1,GM_Led_Head_1,sections
Led Head 2,GM_Led_Head_2,sections
Metal,GM_Metal,sections
Odd Metal,GM_Odd_Metal,sections
Police Beats,GM_Police_Beats,sections
Police Beats,GM_Police_OPP,OPP
Power Rock,,
Progressive,,
Punk,GM_Punk,sections
RB,,
Retro Funk,GM_Retro_Funk,sections
Rock 2,GM_Rock_2,sections
Rock Essentials 1,GM_Rock_Essentials_1,sections
Rock Essentials 2,GM_Rock_Essentials_2,sections
Rush Beats,GM_Rush_Beats,sections
Southern Rock,GM_Southern_Rock,sections
Southern Rock,GM_Southern_Rock_OPP,OPP
Twisted,,
Variety Pack,,
World Beats,,
